rank,model_name,score,organization,computational_cost,api_cost_input,api_cost_output,swe_bench_pro,notes
11,GPT-5.4,79.0,OpenAI,High,$2.50/1M tokens,$15.00/1M tokens,57.7%,"Released March 5, 2026, first OpenAI flagship with native Computer Use API, 5-level reasoning effort control, 33% fewer factual errors than GPT-5.2. Score is approximate (reported range: 78-80%)"
12,Claude Sonnet 4.6,79.0,Anthropic,Medium,"$3.00/1M tokens (<200K), $6.00/1M tokens (>200K)","$15.00/1M tokens (<200K), $22.50/1M tokens (>200K)",,"Released February 2026, significant improvement over Sonnet 4.5, balanced performance and cost for coding tasks"
13,Qwen 3.6 Plus,78.8,Alibaba (Qwen),High,$0.325/1M tokens,$1.95/1M tokens,56.6%,"Released April 2, 2026, frontier-level agentic coding model, 1M context window, always-on chain-of-thought reasoning, MCPMark SOTA, OmniDocBench v1.5 SOTA (91.2)"
14,GLM-5.1,78.5,Zhipu AI (Z.AI),Medium,$0.85/1M tokens,$2.80/1M tokens,,"Released April 2026, incremental improvement over GLM-5, enhanced coding and reasoning capabilities, MIT license, open-weight model"
15,MiniMax M2.7,78.0,MiniMax,Medium,$0.30/1M tokens,$1.20/1M tokens,56.22%,"Released April 12, 2026, first self-evolving agent model, autonomously runs 100+ rounds of scaffold optimization achieving 30% performance improvement, open-weight model"
16,GLM-5,77.8,Zhipu AI (Z.AI),Medium,$0.80/1M tokens,$2.56/1M tokens,,"Released February 11, 2026, strongest open-source model, MIT license, trained entirely on Huawei Ascend chips"
17,Claude Sonnet 4.5,77.2,Anthropic,Medium,"$3.00/1M tokens (<200K), $6.00/1M tokens (>200K)","$15.00/1M tokens (<200K), $22.50/1M tokens (>200K)",43.6%,"Released September 2025, best coding model in the world, 30+ hour focus"
18,Kimi K2.5,76.8,Moonshot AI,Medium,$0.60/1M tokens,$2.50/1M tokens,,"Released January 2026, strongest open-source multimodal agentic model"
19,GPT-5.1,76.3,OpenAI,High,$1.25/1M tokens,$10.00/1M tokens,,"Released November 2025, improved coding capabilities, 30% fewer tokens"
20,Gemini 3 Pro,76.2,Google,High,"$2.00/1M tokens (<200K), $4.00/1M tokens (>200K)","$12.00/1M tokens (<200K), $18.00/1M tokens (>200K)",43.3%,"Released November 2025, agentic coding single attempt, 1M token context"
21,GPT-5,74.9,OpenAI,High,$1.25/1M tokens,$10.00/1M tokens,41.8%,"Released August 2025, unified reasoning model"
22,Qwen 3.6,74.2,Alibaba (Qwen),Medium,$0.14/1M tokens (est.),$0.60/1M tokens (est.),,"Open-source version of Qwen 3.6, developer-friendly sizes, strong agentic coding baseline"
23,MiniMax M2.1,74.0,MiniMax,Medium,$0.27/1M tokens,$1.12/1M tokens,36.8%,"Released December 23, 2025, strongest open-source model for agentic workloads"
24,GLM-4.7,73.8,Zhipu AI,Medium,$0.60/1M tokens,$2.20/1M tokens,,"Released December 22, 2025, open-weight coding and reasoning model"
25,Grok 4,73.5,xAI,Very High,$3.00/1M tokens,$15.00/1M tokens,,"Released July 2025, 256K context window"
26,DeepSeek 3.2 Thinking,73.1,DeepSeek,Medium,"$0.28/1M tokens (cache miss), $0.028/1M tokens (cache hit)",$0.42/1M tokens,,"Released September 2025, V3.2-Exp with enhanced thinking capabilities, 128K context"
27,Claude 4 Sonnet,72.7,Anthropic,Medium,$3.00/1M tokens,$15.00/1M tokens,42.7%,"Released May 2025, outperforms Opus on practical coding"
28,Claude 4 Opus,72.5,Anthropic,High,$15.00/1M tokens,$75.00/1M tokens,,79.4% with parallel test-time compute
29,OpenAI o3,71.7,OpenAI,Very High,$0.40/1M tokens,$1.60/1M tokens,,"Released April 16, 2025. Official result 71.7% (Dec 2024 announcement). Can use tools directly in agentic approach. 80% price reduction"
30,Kimi K2 (Parallel Test-time Compute),71.6,Moonshot AI,High,$0.15/1M tokens,$2.50/1M tokens,,With parallel test-time compute sampling
31,Kimi K2 Thinking,71.3,Moonshot AI,High,$0.15/1M tokens,$2.50/1M tokens,,"Released November 2025, open-source reasoning model with thinking capabilities"
32,OpenAI o3 (Low Compute),70.3,OpenAI,High,$0.40/1M tokens,$1.60/1M tokens,,Lower compute version of o3. Historical score from Dec 2024
33,MiniMax M2,69.4,MiniMax,Medium,$0.30/1M tokens,$1.20/1M tokens,,"Released October 27, 2025, open-weight model with 230B total parameters"
34,o4-mini,68.1,OpenAI,Low,$1.10/1M tokens,$4.40/1M tokens,,"Released April 16, 2025. Fast cost-efficient reasoning model. Can use tools directly in agentic approach"
35,GLM-4.6,68.0,Zhipu AI,Medium,$0.60/1M tokens,$2.20/1M tokens,,"Released September 2025, 355B parameter MoE model with enhanced coding capabilities"
36,DeepSeek V3.1,66.0,DeepSeek,Medium,"$0.27/1M tokens (cache miss), $0.07/1M tokens (cache hit)",$1.10/1M tokens,,"Released August 21, 2025. Hybrid model with think/non-think modes. Enhanced agent capabilities and tool usage"
37,DeepSeek R1 (Agentic),65.8,DeepSeek,Medium,$0.55/1M tokens,$2.19/1M tokens,,Open source reasoning model
38,Kimi K2,65.8,Moonshot AI,Medium,$0.15/1M tokens,$2.50/1M tokens,27.7%,"Open-source trillion parameter MoE model, single attempt"
39,Mini-SWE-agent,65.0,Open Source,Low,Free/Open Source,Free/Open Source,,Achieved with 100 lines of Python code
40,GLM-4.5,64.2,Zhipu AI,Medium,$0.60/1M tokens,$2.20/1M tokens,,"Chinese AI model, open-source 355B parameter MoE model"
41,Gemini 2.5 Flash,63.8,Google,Medium,$0.30/1M tokens,$2.50/1M tokens,,Thinking model with custom agent setup
42,Gemini 2.5 Pro,63.2,Google,High,"$1.25/1M tokens (<200K), $2.50/1M tokens (>200K)","$10.00/1M tokens (<200K), $15.00/1M tokens (>200K)",,Google's reasoning model with extended thinking capabilities
43,GPT-OSS-120b,62.4,OpenAI,High,,,,Open source competitive model
44,Claude 3.7 Sonnet,62.3,Anthropic,Medium,$3.00/1M tokens,$15.00/1M tokens,,Previous generation model with extended thinking mode
45,CodeStory Midwit Agent + swe-search,62.0,CodeStory,Very High,,,,Multi-agent brute force approach
46,GPT-4.1,54.6,OpenAI,High,,,,OpenAI's latest general purpose model
47,Claude 3.5 Sonnet (Latest),50.8,Anthropic,Medium,,,,Latest production version
48,DeepSeek R1,49.2,DeepSeek,Medium,$0.55/1M tokens,$2.19/1M tokens,,Base reasoning model without agentic scaffolding
49,Claude 3.5 Sonnet (Upgraded),49.0,Anthropic,Medium,,,,Previous state-of-the-art
50,OpenAI o1,48.9,OpenAI,High,$15.00/1M tokens,$60.00/1M tokens,,First reasoning model
51,Grok 3,46.8,xAI,High,$2.00/1M tokens (est.),$8.00/1M tokens (est.),,Previous generation from xAI
52,GPT-4o,33.2,OpenAI,Medium,$2.50/1M tokens,$10.00/1M tokens,,With best performing scaffold
